Term,ECSS Standards,Branches
RJF,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_10C']",['E']
ROD,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_31_02CRev1', 'ECSS_E_ST_20CRev2', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_10C', 'ECSS_E_ST_31_02C', 'ECSS_E_ST_10_02C', 'ECSS_E_ST_20C', 'ECSS_E_ST_20CRev1']","['E', '']"
ROM/RAM,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_10C']",['E']
RTM,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_10C']",['E']
R&D,"['ECSS_E_ST_10CRev1', 'ECSS_Q_ST_70_60CCorr1', 'ECSS_E_ST_10C']","['E', 'Q']"
SE,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_70_31C', 'ECSS_E_ST_10C']",['E']
SEP,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_10_09C', 'ECSS_E_ST_32CRev1', 'ECSS_E_ST_10_03CRev1', 'ECSS_Q_ST_30_02C', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_10C', 'ECSS_E_ST_10_03C']","['E', 'Q', '']"
SFT,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_10_03CRev1', 'ECSS_E_ST_10C', 'ECSS_E_ST_10_03C']",['E']
SRR,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_40C', 'ECSS_E_ST_70_01C', 'ECSS_E_ST_20_01C', 'ECSS_E_ST_50CRev1', 'ECSS_E_ST_32_01CRev2', 'ECSS_E_ST_20CRev2', 'ECSS_M_ST_10CRev1', 'ECSS_M_ST_40CRev1', 'ECSS_Q_ST_20_10C', 'ECSS_Q_ST_70_01C', 'ECSS_Q_ST_40CRev1', 'ECSS_Q_ST_60_15C', 'ECSS_Q_ST_80CRev1', 'ECSS_S_ST_00_01C', 'ECSS_U_ST_20C', 'ECSS_Q_ST_40C', 'ECSS_Q_ST_80C', 'ECSS_E_ST_10C', 'ECSS_E_ST_10_02C', 'ECSS_E_ST_20C', 'ECSS_E_ST_32_01CRev1', 'ECSS_E_ST_50C', 'ECSS_E_ST_20CRev1']","['E', 'M', 'Q', '', 'U']"
SVT,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_70C', 'ECSS_E_ST_10_03CRev1', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_10C', 'ECSS_E_ST_10_03C']","['E', '']"
TP,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_10C']",['E']
TRA,['ECSS_E_ST_10CRev1'],['E']
TRL,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_35CRev1', 'ECSS_Q_ST_70_17C', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_10C']","['E', 'Q', '']"
TRSL,['ECSS_E_ST_10CRev1'],['E']
TS,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_10_06C', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_40C', 'ECSS_E_ST_70C', 'ECSS_E_ST_31_02CRev1', 'ECSS_M_ST_40CRev1', 'ECSS_Q_ST_30_02C', 'ECSS_Q_ST_80CRev1', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_80C', 'ECSS_E_ST_10C', 'ECSS_E_ST_31_02C']","['E', 'M', 'Q', '']"
UM,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_60_30C', 'ECSS_E_ST_10C']",['E']
VCD,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_35CRev1', 'ECSS_E_ST_60_30C', 'ECSS_E_ST_33_01CRev2', 'ECSS_E_ST_10_03CRev1', 'ECSS_E_ST_20CRev2', 'ECSS_Q_ST_20CRev2Corr1', 'ECSS_Q_ST_20_10C', 'ECSS_S_ST_00_01C', 'ECSS_U_ST_20C', 'ECSS_Q_ST_20CRev1', 'ECSS_E_ST_10C', 'ECSS_E_ST_10_02C', 'ECSS_E_ST_33_01CRev1', 'ECSS_E_ST_20C', 'ECSS_E_ST_10_03C', 'ECSS_E_ST_20CRev1']","['E', 'Q', '', 'U']"
VP,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_60_30C', 'ECSS_E_ST_31_02CRev1', 'ECSS_E_ST_10_03CRev1', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_10C', 'ECSS_E_ST_31_02C', 'ECSS_E_ST_10_02C', 'ECSS_E_ST_10_03C']","['E', '']"
w.r.t.,"['ECSS_E_ST_10CRev1', 'ECSS_E_ST_10_09C', 'ECSS_E_ST_31C', 'ECSS_E_ST_60_21C', 'ECSS_Q_ST_30_09C', 'ECSS_E_ST_10C']","['E', 'Q']"
IEC,"['ECSS_E_ST_10_06C', 'ECSS_M_ST_40CRev1', 'ECSS_M_ST_80C', 'ECSS_Q_ST_40_12C', 'ECSS_Q_ST_40CRev1', 'ECSS_Q_ST_40C']","['E', 'M', 'Q']"
BCRS,['ECSS_E_ST_10_09C'],['E']
BIPM,['ECSS_E_ST_10_09C'],['E']
CAD,"['ECSS_E_ST_10_09C', 'ECSS_E_ST_32CRev1', 'ECSS_E_ST_31_04C', 'ECSS_M_ST_40CRev1', 'ECSS_Q_ST_70_12C', 'ECSS_S_ST_00_01C', 'ECSS_Q_ST_70_10C']","['E', 'M', 'Q', '']"
CCSDS,"['ECSS_E_ST_10_09C', 'ECSS_E_ST_50_02C', 'ECSS_E_ST_50_13C', 'ECSS_E_ST_50_51C', 'ECSS_E_ST_50_53C', 'ECSS_E_ST_70C', 'ECSS_E_ST_50_05CRev2', 'ECSS_E_ST_50_15C', 'ECSS_E_ST_10_24C', 'ECSS_E_ST_70_41C', 'ECSS_E_ST_50CRev1', 'ECSS_S_ST_00_01C', 'ECSS_E_ST_50_05CRev1', 'ECSS_E_ST_50_01C', 'ECSS_E_ST_50_03C', 'ECSS_E_ST_50_04C', 'ECSS_E_ST_50C']","['E', '']"
